Gözlem Yapılan Servis Adı;Servis Türü;Gözlem Tarihi;Gözlemci Meslek;Cinsiyet;Hasta İle Temas Öncesi;Hasta İle Temas Sonrası;Aseptik İşlemler Öncesi;Vücus Sıvıları İle Bulaşma Sonrası;Hasta Çevresi İle Temas Sonrası
Nöroloji;Yoğun Bakım;1.06.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.06.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.06.2018;Doktor;K;Yok;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.06.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.06.2018;Hasta Bakıcı;E;Yok;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.06.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.06.2018;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.06.2018;Hemşire;K;Ovma;Yok;Ovma;Yıkama;Yok
Nöroloji;Yoğun Bakım;1.06.2018;Hasta Bakıcı;K;Ovma;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.06.2018;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.06.2018;Doktor;K;Ovma;Yok;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.06.2018;Doktor;K;Yok;Ovma;Gözlem Dışı;Yıkama;Yok
Nöroloji;Yoğun Bakım;1.06.2018;Doktor;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.06.2018;Doktor;K;Ovma;Gözlem Dışı;Ovma;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.06.2018;Hemşire;K;Gözlem Dışı;Ovma;Ovma;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.06.2018;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
